Comment,Designator,Footprint,LCSC Part #
"100n","C1","C0603","C14663"
"1u","C2","C0603","C559769"
"100n","C3","C0603","C14663"
"1u","C4","C0603","C559769"
"100n","C5","C0603","C14663"
"1u","C6","C0603","C559769"
"100n","C7","C0603","C14663"
"1u","C8","C0603","C559769"
"US1M","D1","DO214AC","C112545"
"US1M","D2","DO214AC","C112545"
"US1M","D3","DO214AC","C112545"
"US1M","D4","DO214AC","C112545"
"SMAJ33A","D5","DO214AC","C143131"
"SMAJ33A","D6","DO214AC","C143131"
"SMAJ33A","D7","DO214AC","C143131"
"SMAJ33A","D8","DO214AC","C143131"
"US1M","D9","DO214AC","C112545"
"US1M","D10","DO214AC","C112545"
"US1M","D11","DO214AC","C112545"
"SMAJ33A","D12","DO214AC","C143131"
"SMAJ33A","D13","DO214AC","C143131"
"SMAJ33A","D14","DO214AC","C143131"
"TE_776231-1","J1","TE_776231",""
"USB_B_Mini","J8","USB-MINI-B-VERTICAL","C13453"
"Module:mega-mcu100/0.3","M1","mega-mcu100",""
"Module:power_12and5V/0.3","M2","power_12and5V",""
"Module:vr-max9924/0.3","M3","vr-max9924",""
"NCE4080K","Q1","DPAK",""
"NCE4080K","Q2","DPAK",""
"NCE4080K","Q3","DPAK",""
"NCE4080K","Q4","DPAK",""
"NCE4080K","Q5","DPAK",""
"NCE4080K","Q6","DPAK",""
"NCE4080K","Q7","DPAK",""
"12","R1","R0603",""
"12","R2","R0603",""
"12","R3","R0603",""
"12","R4","R0603",""
"12","R5","R0603",""
"12","R6","R0603",""
"12","R7","R0603",""
"12","R8","R0603","C22783"
"12","R9","R0603","C22783"
"12","R10","R0603","C22783"
"12","R11","R0603","C22783"
"SLM27524CA-DG","U1","SOIC-8","C2921387"
"SLM27524CA-DG","U2","SOIC-8","C2921387"
"SLM27524CA-DG","U3","SOIC-8","C2921387"
"SLM27524CA-DG","U4","SOIC-8","C2921387"
